"","year","herd_subclass","Totalbio","Totalval","herd_class","adjval"
"1",2011,"BP",38.1,77.2,"Beef",77.6659959758551
"2",2011,"BSB",239.8,514.2,"Beef",517.303822937626
"3",2011,"BSW",491.4,992.1,"Beef",998.088531187123
"4",2011,"BSY",408.1,848.9,"Beef",854.024144869215
"5",2011,"BSY_nR",68.9,142.8,"Beef",143.661971830986
"6",2011,"D",525.6,1163.7,"Dairy",1170.72434607646
"7",2011,"DRm",285.5,615.7,"Dairy",619.416498993964
"8",2011,"DnR_C",49.4,108.9,"Dairy",109.557344064386
"9",2011,"DnR_nC",15.9,32,"Dairy",32.1931589537223
"10",2011,"F",351.5,813.2,"Fattening",818.108651911469
"11",2011,"M",274.7,583.6,"Mixed",587.122736418511
"12",2011,"Rdf",3.8,9.3,"Store/Rearing",9.35613682092555
"13",2011,"Sbf",26,58.5,"Store/Rearing",58.8531187122736
"14",2011,"Sbm",43.7,104.1,"Store/Rearing",104.728370221328
"15",2011,"Sbmx",32.9,73,"Store/Rearing",73.4406438631791
"16",2011,"Sdm",21.7,44.5,"Store/Rearing",44.7686116700201
"17",2011,"T",20.3,43.6,"Trading",43.8631790744467
"18",2011,"U",27.4,60.3,"Unclassified",60.6639839034205
"19",2012,"BP",39.4,92.2,"Beef",91.1968348170129
"20",2012,"BSB",247.2,609.9,"Beef",603.26409495549
"21",2012,"BSW",579.3,1351,"Beef",1336.30069238378
"22",2012,"BSY",412.9,993.7,"Beef",982.888229475767
"23",2012,"BSY_nR",71.7,173.3,"Beef",171.414441147379
"24",2012,"D",590.8,1497.1,"Dairy",1480.81107814045
"25",2012,"DRm",329.4,828.2,"Dairy",819.188921859545
"26",2012,"DnR_C",70,177,"Dairy",175.074183976261
"27",2012,"DnR_nC",17.4,39.3,"Dairy",38.8724035608309
"28",2012,"F",341.4,912.8,"Fattening",902.868447082097
"29",2012,"M",293,724.6,"Mixed",716.716122650841
"30",2012,"Rdf",5.8,16.4,"Store/Rearing",16.2215628090999
"31",2012,"Sbf",30.1,78.8,"Store/Rearing",77.9426310583581
"32",2012,"Sbm",49.3,140.2,"Store/Rearing",138.674579624135
"33",2012,"Sbmx",35.2,93.6,"Store/Rearing",92.5816023738872
"34",2012,"Sdm",36.4,92.9,"Store/Rearing",91.8892185954501
"35",2012,"T",20.7,51.1,"Trading",50.5440158259149
"36",2012,"U",26.7,68.5,"Unclassified",67.7546983184965
"37",2013,"BP",34.9,77.3,"Beef",76.0826771653543
"38",2013,"BSB",232.7,551.9,"Beef",543.208661417323
"39",2013,"BSW",425.8,939.7,"Beef",924.90157480315
"40",2013,"BSY",442.4,1014.3,"Beef",998.326771653543
"41",2013,"BSY_nR",67.4,156.2,"Beef",153.740157480315
"42",2013,"D",463.7,1108.6,"Dairy",1091.14173228346
"43",2013,"DRm",362.5,869.2,"Dairy",855.511811023622
"44",2013,"DnR_C",65.2,155.9,"Dairy",153.444881889764
"45",2013,"DnR_nC",14.5,31,"Dairy",30.511811023622
"46",2013,"F",335.2,878.6,"Fattening",864.763779527559
"47",2013,"M",256.6,606.3,"Mixed",596.751968503937
"48",2013,"Rdf",5.5,14.5,"Store/Rearing",14.2716535433071
"49",2013,"Sbf",25,60.6,"Store/Rearing",59.6456692913386
"50",2013,"Sbm",46.8,132.6,"Store/Rearing",130.511811023622
"51",2013,"Sbmx",32.8,83.6,"Store/Rearing",82.2834645669291
"52",2013,"Sdm",38.8,96.5,"Store/Rearing",94.9803149606299
"53",2013,"T",22.4,53.8,"Trading",52.9527559055118
"54",2013,"U",20.8,52.1,"Unclassified",51.2795275590551
"55",2014,"BP",37.9,79.5,"Beef",78.0943025540275
"56",2014,"BSB",247.5,550.2,"Beef",540.471512770138
"57",2014,"BSW",421.2,879.2,"Beef",863.654223968566
"58",2014,"BSY",446.3,961.7,"Beef",944.695481335953
"59",2014,"BSY_nR",71.9,154.5,"Beef",151.768172888016
"60",2014,"D",524.8,1209.2,"Dairy",1187.81925343811
"61",2014,"DRm",356.2,804.8,"Dairy",790.569744597249
"62",2014,"DnR_C",78.6,179.7,"Dairy",176.522593320236
"63",2014,"DnR_nC",16,33.8,"Dairy",33.2023575638507
"64",2014,"F",382.9,919.7,"Fattening",903.43811394892
"65",2014,"M",277.7,616.2,"Mixed",605.304518664047
"66",2014,"Rdf",7.1,17.9,"Store/Rearing",17.5834970530452
"67",2014,"Sbf",29.1,67.7,"Store/Rearing",66.5029469548134
"68",2014,"Sbm",48.7,122.8,"Store/Rearing",120.628683693517
"69",2014,"Sbmx",37.7,87.8,"Store/Rearing",86.2475442043222
"70",2014,"Sdm",38.8,85.6,"Store/Rearing",84.0864440078585
"71",2014,"T",20.2,45.3,"Trading",44.4990176817289
"72",2014,"U",18.2,41.9,"Unclassified",41.1591355599214
"73",2015,"BP",36.8,87.3,"Beef",86.0098522167488
"74",2015,"BSB",225.8,561.9,"Beef",553.5960591133
"75",2015,"BSW",463.9,1096.8,"Beef",1080.59113300493
"76",2015,"BSY",381,925.7,"Beef",912.019704433498
"77",2015,"BSY_nR",67.7,163.9,"Beef",161.477832512315
"78",2015,"D",561.3,1456.7,"Dairy",1435.1724137931
"79",2015,"DRm",300.6,766.4,"Dairy",755.073891625616
"80",2015,"DnR_C",93.4,240.4,"Dairy",236.847290640394
"81",2015,"DnR_nC",23,54.8,"Dairy",53.9901477832512
"82",2015,"F",378.3,997.2,"Fattening",982.463054187192
"83",2015,"M",289.3,725.7,"Mixed",714.975369458128
"84",2015,"Rdf",8.3,23.9,"Store/Rearing",23.5467980295566
"85",2015,"Sbf",31.7,84.3,"Store/Rearing",83.0541871921182
"86",2015,"Sbm",51,141,"Store/Rearing",138.916256157635
"87",2015,"Sbmx",42.1,111.6,"Store/Rearing",109.950738916256
"88",2015,"Sdm",41.5,103.9,"Store/Rearing",102.364532019704
"89",2015,"T",19.5,48.9,"Trading",48.1773399014778
"90",2015,"U",27.1,70.3,"Unclassified",69.2610837438424
"91",2016,"BP",38.1,79.5,"Beef",78.3251231527094
"92",2016,"BSB",247.6,548.9,"Beef",540.788177339901
"93",2016,"BSW",472.7,982.5,"Beef",967.980295566502
"94",2016,"BSY",397.7,853.3,"Beef",840.689655172414
"95",2016,"BSY_nR",61.7,132.9,"Beef",130.935960591133
"96",2016,"D",602.4,1374.2,"Dairy",1353.89162561576
"97",2016,"DRm",325,730.6,"Dairy",719.802955665025
"98",2016,"DnR_C",99.4,225.3,"Dairy",221.970443349754
"99",2016,"DnR_nC",28.2,59.8,"Dairy",58.9162561576355
"100",2016,"F",395.7,952,"Fattening",937.931034482758
"101",2016,"M",313.4,693,"Mixed",682.758620689655
"102",2016,"Rdf",8.5,21.3,"Store/Rearing",20.9852216748768
"103",2016,"Sbf",31.2,70.9,"Store/Rearing",69.8522167487685
"104",2016,"Sbm",49,125.4,"Store/Rearing",123.546798029557
"105",2016,"Sbmx",45.2,104.8,"Store/Rearing",103.251231527094
"106",2016,"Sdm",45.6,101,"Store/Rearing",99.5073891625616
"107",2016,"T",20.6,46,"Trading",45.320197044335
"108",2016,"U",24.3,56.2,"Unclassified",55.3694581280788
"109",2017,"BP",38,82.2,"Beef",80.6673209028459
"110",2017,"BSB",238.9,548.2,"Beef",537.978410206084
"111",2017,"BSW",473.7,1024.6,"Beef",1005.49558390579
"112",2017,"BSY",389.6,866.3,"Beef",850.147203140334
"113",2017,"BSY_nR",59.2,131.6,"Beef",129.146221786065
"114",2017,"D",598.5,1422.8,"Dairy",1396.27085377821
"115",2017,"DRm",311.4,729.3,"Dairy",715.701668302257
"116",2017,"DnR_C",101.1,238.7,"Dairy",234.249263984298
"117",2017,"DnR_nC",30.7,67.5,"Dairy",66.2414131501472
"118",2017,"F",427.7,1056.9,"Fattening",1037.19332679097
"119",2017,"M",321.9,737.7,"Mixed",723.945044160942
"120",2017,"Rdf",9.1,24.3,"Store/Rearing",23.846908734053
"121",2017,"Sbf",32.8,79.9,"Store/Rearing",78.4102060843965
"122",2017,"Sbm",50.4,129.2,"Store/Rearing",126.790971540726
"123",2017,"Sbmx",50.1,120,"Store/Rearing",117.762512266928
"124",2017,"Sdm",44.9,104,"Store/Rearing",102.060843964671
"125",2017,"T",18.9,43.6,"Trading",42.7870461236506
"126",2017,"U",22.9,55,"Unclassified",53.9744847890088
"127",2018,"BP",39.6,85.8,"Beef",83.7890625
"128",2018,"BSB",250.9,576.1,"Beef",562.59765625
"129",2018,"BSW",451.7,980,"Beef",957.03125
"130",2018,"BSY",394.5,879.5,"Beef",858.88671875
"131",2018,"BSY_nR",54.2,120.2,"Beef",117.3828125
"132",2018,"D",601.3,1430,"Dairy",1396.484375
"133",2018,"DRm",306.5,717.9,"Dairy",701.07421875
"134",2018,"DnR_C",106.7,251.6,"Dairy",245.703125
"135",2018,"DnR_nC",36.8,81.4,"Dairy",79.4921875
"136",2018,"F",432.3,1068.8,"Fattening",1043.75
"137",2018,"M",350.7,804.5,"Mixed",785.64453125
"138",2018,"Rdf",9.3,24.8,"Store/Rearing",24.21875
"139",2018,"Sbf",34.6,84,"Store/Rearing",82.03125
"140",2018,"Sbm",50.5,129.7,"Store/Rearing",126.66015625
"141",2018,"Sbmx",51.8,124.1,"Store/Rearing",121.19140625
"142",2018,"Sdm",38.1,89.1,"Store/Rearing",87.01171875
"143",2018,"T",20.2,46.2,"Trading",45.1171875
"144",2018,"U",20.2,48.4,"Unclassified",47.265625
"145",2019,"BP",41.7,89,"Beef",86.1568247821878
"146",2019,"BSB",244,551.2,"Beef",533.591481122943
"147",2019,"BSW",447.2,957.3,"Beef",926.718296224588
"148",2019,"BSY",372.4,817.4,"Beef",791.287512100678
"149",2019,"BSY_nR",54.2,118.2,"Beef",114.424007744434
"150",2019,"D",625.4,1465.3,"Dairy",1418.48983543078
"151",2019,"DRm",290.6,669.2,"Dairy",647.821878025169
"152",2019,"DnR_C",127.4,296,"Dairy",286.544046466602
"153",2019,"DnR_nC",41.2,89.9,"Dairy",87.0280735721201
"154",2019,"F",442,1073.9,"Fattening",1039.59341723137
"155",2019,"M",334.6,754.4,"Mixed",730.300096805421
"156",2019,"Rdf",12.2,32.5,"Store/Rearing",31.4617618586641
"157",2019,"Sbf",36.2,86.6,"Store/Rearing",83.8334946757018
"158",2019,"Sbm",51.8,129.6,"Store/Rearing",125.459825750242
"159",2019,"Sbmx",52.5,123.6,"Store/Rearing",119.651500484027
"160",2019,"Sdm",38.8,89.4,"Store/Rearing",86.5440464666021
"161",2019,"T",20.3,46.2,"Trading",44.7241045498548
"162",2019,"U",19,44.7,"Unclassified",43.2720232333011
"163",2020,"BP",41.8,92.5,"Beef",89.8058252427185
"164",2020,"BSB",220.4,507.2,"Beef",492.427184466019
"165",2020,"BSW",429,960.6,"Beef",932.621359223301
"166",2020,"BSY",400.4,906.8,"Beef",880.388349514563
"167",2020,"BSY_nR",54.6,121.4,"Beef",117.864077669903
"168",2020,"D",651,1606,"Dairy",1559.22330097087
"169",2020,"DRm",277.2,660.5,"Dairy",641.26213592233
"170",2020,"DnR_C",137.1,334.9,"Dairy",325.145631067961
"171",2020,"DnR_nC",46.3,106.5,"Dairy",103.398058252427
"172",2020,"F",429.7,1020.4,"Fattening",990.679611650485
"173",2020,"M",357.1,830.2,"Mixed",806.019417475728
"174",2020,"Rdf",13.4,38,"Store/Rearing",36.8932038834951
"175",2020,"Sbf",35.6,91.3,"Store/Rearing",88.6407766990291
"176",2020,"Sbm",51.6,120,"Store/Rearing",116.504854368932
"177",2020,"Sbmx",57.4,134.5,"Store/Rearing",130.582524271845
"178",2020,"Sdm",40.5,89.8,"Store/Rearing",87.1844660194175
"179",2020,"T",19,43.2,"Trading",41.9417475728155
"180",2020,"U",21.8,51.9,"Unclassified",50.3883495145631
"181",2021,"BP",41.3,109.9,"Beef",104.26944971537
"182",2021,"BSB",185.2,504.4,"Beef",478.557874762808
"183",2021,"BSW",443.9,1191.1,"Beef",1130.07590132827
"184",2021,"BSY",368.7,997.8,"Beef",946.679316888045
"185",2021,"BSY_nR",54,143.4,"Beef",136.053130929791
"186",2021,"D",696.1,2026.2,"Dairy",1922.39089184061
"187",2021,"DRm",267.9,760.2,"Dairy",721.252371916509
"188",2021,"DnR_C",146.2,420.4,"Dairy",398.861480075901
"189",2021,"DnR_nC",48.1,128.6,"Dairy",122.011385199241
"190",2021,"F",440.8,1219.5,"Fattening",1157.02087286528
"191",2021,"M",340.2,945.4,"Mixed",896.96394686907
"192",2021,"Rdf",14,47.8,"Store/Rearing",45.3510436432638
"193",2021,"Sbf",41.3,128.5,"Store/Rearing",121.916508538899
"194",2021,"Sbm",61.7,169.5,"Store/Rearing",160.815939278937
"195",2021,"Sbmx",71.5,206.2,"Store/Rearing",195.635673624288
"196",2021,"Sdm",53,146.7,"Store/Rearing",139.184060721063
"197",2021,"T",22.1,60.6,"Trading",57.4952561669829
"198",2021,"U",21.1,60.8,"Unclassified",57.685009487666
